"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","Y"
11760,"30","86","46","59","52","18","9","0","0","30","11","74","52","94","100","100","1"
11801,"18","93","94","100","100","100","20","94","3","64","77","50","77","11","0","0","1"
11843,"46","92","77","100","100","97","56","90","50","55","81","33","41","12","0","0","1"
11845,"27","95","0","62","59","47","42","0","1","4","5","54","31","95","100","100","1"
11869,"60","92","100","100","64","98","32","72","66","60","76","29","40","7","0","0","1"
11878,"21","80","29","47","85","44","62","0","20","19","0","67","37","100","100","98","1"
11884,"10","82","15","51","70","36","54","0","20","28","0","73","42","91","100","100","1"
11895,"22","100","1","52","63","67","62","21","0","0","4","59","28","96","100","97","1"
11897,"35","93","94","100","100","94","44","82","47","48","98","31","58","6","0","0","1"
11975,"99","100","66","100","18","94","30","57","86","49","100","15","48","0","0","12","1"
11980,"2","64","31","33","47","3","0","0","3","39","8","74","54","89","100","100","1"
11997,"72","94","25","100","26","71","25","36","72","44","100","18","55","0","0","2","1"
12008,"12","96","3","66","76","40","64","0","16","17","0","60","7","98","100","100","1"
12009,"100","96","42","100","8","76","0","43","55","42","92","20","62","0","6","8","1"
12011,"6","100","61","91","38","95","6","67","54","49","100","23","52","0","0","18","1"
12013,"0","79","6","64","41","51","84","21","23","0","16","51","25","100","100","94","1"
12022,"50","92","100","100","51","96","22","60","43","42","86","31","49","0","0","0","1"
12033,"36","82","32","63","67","33","37","0","0","12","26","54","50","94","100","100","1"
12034,"16","89","76","100","100","100","32","90","22","62","81","41","67","3","0","0","1"
12046,"100","100","38","87","2","62","48","51","94","28","70","0","0","4","2","28","1"
12054,"51","83","20","78","51","49","50","4","0","0","21","46","47","93","100","100","1"
12059,"100","100","54","99","16","79","0","51","48","51","76","27","47","1","1","0","1"
12072,"36","91","39","53","40","15","0","0","2","31","19","71","57","91","100","100","1"
12076,"4","85","18","63","74","47","47","0","9","16","0","70","34","95","100","100","1"
12079,"10","89","32","98","36","100","0","68","31","49","100","29","60","0","1","15","1"
12084,"35","92","21","64","66","36","37","0","0","15","10","69","46","100","100","100","1"
12110,"21","89","0","68","50","37","49","0","7","15","3","68","39","99","100","100","1"
12114,"55","94","9","78","56","57","60","4","0","0","4","43","40","93","100","100","1"
12136,"34","89","96","100","93","99","24","86","60","72","100","46","63","16","0","0","1"
12138,"7","71","38","49","70","20","25","0","1","34","0","69","33","100","100","97","1"
12150,"18","85","41","46","37","1","3","0","0","47","7","91","53","97","100","100","1"
12165,"0","79","26","54","70","25","26","0","10","33","0","70","30","100","100","95","1"
12177,"27","100","30","67","95","44","66","0","11","12","0","62","22","97","100","99","1"
12182,"96","100","70","100","35","80","57","60","100","46","90","13","46","0","0","8","1"
12199,"57","89","100","98","70","100","33","78","37","47","77","34","45","7","0","0","1"
12204,"100","95","55","100","13","88","4","62","46","47","70","20","39","0","0","10","1"
12217,"33","79","83","99","100","100","47","84","0","62","22","38","53","14","1","0","1"
12227,"56","86","99","100","100","96","54","87","20","73","45","46","42","16","0","0","1"
12229,"40","88","100","100","38","91","0","64","41","52","96","38","62","11","0","0","1"
12243,"37","78","15","58","49","25","18","0","0","30","1","72","49","89","100","100","1"
12262,"18","95","14","65","77","57","100","13","49","0","12","43","0","88","62","100","1"
12264,"31","100","0","58","74","45","57","2","10","0","6","46","17","90","100","97","1"
12269,"29","88","90","100","69","95","12","74","35","58","100","47","64","17","0","0","1"
12292,"100","100","65","94","34","83","27","50","67","40","76","12","40","0","0","7","1"
12316,"100","100","67","98","41","80","44","50","78","42","68","16","35","2","0","0","1"
12320,"32","92","24","47","71","36","38","0","0","0","21","48","49","92","100","100","1"
12331,"100","98","71","100","42","88","35","55","59","41","61","16","31","3","0","0","1"
12337,"42","98","22","72","75","51","62","0","0","6","23","57","43","100","100","99","1"
12348,"24","96","34","62","72","36","37","0","15","40","0","89","50","99","100","100","1"
12349,"31","97","100","100","25","94","12","62","48","62","94","33","60","0","0","5","1"
12350,"57","94","100","100","48","82","24","48","71","64","85","31","54","0","0","1","1"
12353,"11","98","0","55","52","36","45","0","17","22","11","72","42","100","100","99","1"
12371,"22","95","97","100","100","98","18","95","32","70","100","47","72","0","0","16","1"
12375,"48","84","99","100","100","94","53","74","48","44","90","26","55","0","0","1","1"
12380,"20","82","71","100","100","96","41","87","10","71","62","48","54","0","0","0","1"
12402,"100","92","65","100","46","85","49","58","77","42","67","18","35","6","0","0","1"
12403,"16","96","94","100","28","96","4","68","35","51","100","35","65","0","0","14","1"
12404,"55","96","99","100","52","86","61","58","96","35","100","6","51","0","0","2","1"
12424,"8","91","12","53","59","36","26","0","5","32","0","79","42","98","100","100","1"
12448,"6","100","1","53","61","48","44","0","5","16","0","70","41","98","100","97","1"
12453,"36","93","12","61","87","55","79","16","11","0","0","48","25","92","100","100","1"
12454,"40","95","16","58","100","52","90","10","12","0","0","48","8","89","94","100","1"
12470,"6","87","25","60","80","43","47","4","0","0","4","54","39","93","100","100","1"
12498,"37","87","100","100","56","91","19","67","22","54","79","42","59","16","0","0","1"
12499,"12","100","25","89","17","37","40","0","0","10","7","54","51","72","100","81","1"
12504,"29","100","12","57","42","33","26","0","0","33","11","71","53","88","100","91","1"
12505,"11","87","14","61","58","36","24","0","0","28","9","77","41","100","100","94","1"
12512,"100","93","73","100","43","98","34","66","50","50","61","34","31","17","0","0","1"
12518,"30","84","43","61","100","38","64","4","0","0","6","47","25","88","90","100","1"
12532,"20","100","13","75","45","41","31","0","0","12","6","57","44","89","100","100","1"
12538,"10","79","14","68","85","47","64","2","0","0","0","49","12","93","100","100","1"
12544,"16","76","71","94","100","100","43","83","45","52","93","28","66","2","0","0","1"
12550,"100","100","63","99","28","85","27","49","67","40","88","16","46","0","0","1","1"
12564,"21","97","27","57","82","40","50","0","0","0","0","60","41","96","100","100","1"
12576,"45","100","34","60","47","24","16","0","0","38","20","73","59","85","100","86","1"
12611,"100","100","57","92","24","87","0","58","33","57","66","42","48","13","8","0","1"
12614,"17","97","89","100","48","96","21","70","59","67","100","36","63","0","0","16","1"
12615,"100","99","68","100","47","74","52","52","81","42","63","14","30","0","0","16","1"
12640,"18","93","10","55","55","27","13","0","0","34","5","81","45","100","100","98","1"
12644,"23","100","18","78","36","40","17","0","0","51","21","83","61","84","100","82","1"
12658,"20","88","29","53","73","35","42","0","0","3","20","59","53","98","100","100","1"
12660,"12","91","79","100","45","95","29","63","88","68","100","24","52","0","0","23","1"
12677,"50","91","100","100","90","97","62","69","100","43","99","11","51","0","0","1","1"
12679,"21","87","24","55","60","29","24","0","0","17","10","68","52","90","100","100","1"
12686,"100","100","51","96","10","82","7","63","57","61","71","35","44","9","0","0","1"
12693,"100","94","55","100","21","84","0","55","45","62","71","40","51","11","8","0","1"
12697,"45","96","0","68","48","62","52","12","6","0","20","54","45","100","100","99","1"
12709,"19","86","17","47","59","32","21","0","1","38","0","90","49","98","100","100","1"
12715,"47","84","94","100","100","93","41","80","25","61","82","41","53","0","0","10","1"
12732,"10","94","84","100","37","97","21","67","63","60","100","32","60","0","0","18","1"
12772,"100","99","62","100","36","78","47","51","82","44","69","14","34","0","0","14","1"
12786,"2","97","8","66","45","31","12","0","0","37","2","91","50","100","100","100","1"
12794,"67","88","95","100","47","75","18","50","81","62","100","29","64","0","0","7","1"
12798,"31","96","17","64","44","28","20","0","5","36","0","77","44","97","100","100","1"
12805,"8","98","17","58","71","44","40","0","2","27","0","78","33","100","100","99","1"
12808,"4","96","76","100","60","97","17","79","65","70","100","29","43","0","0","26","1"
12811,"100","100","71","90","50","90","39","67","70","55","59","31","31","13","0","0","1"
12825,"53","89","32","62","100","53","75","13","9","0","0","43","25","88","93","100","1"
12832,"100","100","68","97","16","90","8","56","53","57","83","36","52","8","0","0","1"
12865,"33","86","21","56","91","44","65","1","0","0","2","51","26","94","100","100","1"
12885,"100","93","75","100","47","88","33","54","68","49","79","28","43","8","0","0","1"
12902,"63","86","32","66","58","32","30","0","5","19","0","57","41","84","100","100","1"
12919,"31","87","80","100","45","88","27","63","75","45","100","20","56","2","0","0","1"
12931,"24","87","0","82","30","72","59","23","4","0","4","45","36","98","100","100","1"
12933,"47","85","100","100","40","87","24","59","80","61","90","34","57","8","0","0","1"
12937,"16","95","100","100","22","92","2","65","24","47","96","39","75","0","0","2","1"
12951,"37","98","11","60","88","52","76","8","0","0","0","46","18","88","100","100","1"
12961,"43","89","93","100","66","91","40","64","82","43","100","15","52","0","0","1","1"
12973,"100","81","83","96","26","100","0","88","16","54","69","40","87","6","34","0","1"
12982,"30","100","90","99","81","100","32","78","52","57","100","31","58","0","0","17","1"
12989,"13","98","0","74","51","57","32","0","2","22","4","85","41","100","100","100","1"
12993,"29","84","1","73","64","48","65","6","0","0","1","47","26","89","100","100","1"
13016,"9","95","3","60","65","67","66","8","11","0","0","61","32","91","100","100","1"
13020,"100","90","75","100","42","81","63","51","97","29","85","4","42","0","0","4","1"
13022,"30","96","31","62","60","26","24","0","8","35","0","76","35","100","100","100","1"
13023,"16","94","0","60","53","50","47","0","17","11","13","70","46","100","100","96","1"
13049,"31","92","5","50","59","42","43","0","1","3","0","63","45","92","100","100","1"
13073,"49","85","49","61","71","25","27","0","8","37","0","79","42","99","100","100","1"
13115,"100","100","57","94","29","76","48","63","83","49","71","19","36","0","0","4","1"
13130,"100","100","64","98","36","99","34","68","59","60","62","36","32","17","0","0","1"
13141,"12","79","9","48","36","18","30","0","12","31","0","62","34","88","100","100","1"
13149,"42","85","24","51","75","38","52","4","0","0","17","49","50","85","100","100","1"
13199,"30","87","16","55","68","41","52","0","0","16","15","63","41","100","100","98","1"
13200,"1","88","0","54","59","31","36","0","11","28","4","68","28","97","100","100","1"
13205,"18","88","2","54","40","25","2","0","0","30","20","70","45","100","100","93","1"
13223,"100","100","64","98","26","85","36","63","76","58","75","24","42","1","0","0","1"
13224,"2","80","36","50","54","12","9","0","0","41","5","78","49","95","100","100","1"
13241,"100","97","66","100","30","88","24","55","54","59","61","27","38","0","0","1","1"
13253,"0","69","10","54","67","37","47","0","14","13","17","54","34","92","100","100","1"
13263,"33","100","0","66","28","40","55","12","1","0","10","46","44","84","100","92","1"
13296,"8","95","8","58","61","47","54","0","20","21","0","68","37","100","100","100","1"
13299,"28","95","100","100","51","97","0","74","16","54","86","42","71","13","1","0","1"
13316,"14","91","7","55","36","17","4","0","0","51","4","98","52","100","100","97","1"
13318,"17","100","17","69","60","36","30","0","0","20","0","73","41","91","100","92","1"
13331,"53","91","100","100","86","100","28","86","58","64","98","32","60","0","0","1","1"
13336,"32","94","0","57","56","47","59","0","17","4","12","64","42","100","100","95","1"
13357,"27","89","0","64","62","46","54","0","3","1","6","52","31","93","100","100","1"
13387,"28","88","75","100","100","99","51","87","8","70","32","45","47","12","0","0","1"
13390,"21","89","34","58","62","22","31","0","8","40","0","79","48","96","100","100","1"
13402,"41","100","0","65","41","43","61","12","6","0","24","47","42","93","100","98","1"
13426,"36","81","36","70","80","36","52","0","0","22","29","63","35","94","100","100","1"
13434,"43","87","100","100","77","98","29","77","60","59","95","32","54","4","0","0","1"
13444,"87","93","59","100","21","86","6","53","69","56","100","31","59","4","0","0","1"
13472,"20","100","34","63","57","25","23","0","6","39","0","81","48","95","100","95","1"
13481,"27","100","8","56","57","41","20","0","0","24","18","85","48","97","100","94","1"
13491,"57","96","100","100","81","95","40","85","30","60","57","32","40","3","0","0","1"
13492,"44","77","19","50","39","19","0","0","8","31","19","66","57","87","100","100","1"
13510,"2","97","13","59","44","34","15","0","6","43","0","86","49","98","100","100","1"
13513,"28","87","1","56","76","75","67","28","1","0","0","46","18","94","100","100","1"
13524,"13","88","10","56","54","29","30","0","10","35","0","79","46","99","100","100","1"
13533,"27","90","0","65","55","44","62","5","19","0","24","50","29","95","100","100","1"
13538,"65","95","28","72","52","33","24","0","0","16","15","59","48","89","100","100","1"
13539,"32","92","12","66","42","29","18","0","0","24","17","78","56","100","100","97","1"
13549,"100","95","74","100","25","89","17","53","72","45","99","19","53","3","0","0","1"
13553,"100","97","49","100","11","82","10","51","54","52","76","29","47","5","0","0","1"
13565,"27","95","1","56","41","32","16","0","0","24","12","75","55","93","100","100","1"
13567,"20","85","27","50","94","51","87","3","27","0","0","53","32","89","100","100","1"
13582,"54","88","24","76","66","51","47","2","0","0","18","48","50","92","100","100","1"
13598,"27","94","1","63","56","67","64","19","0","0","0","55","21","100","100","100","1"
13607,"31","81","49","43","38","7","0","0","5","42","25","73","62","90","100","100","1"
13631,"16","98","75","100","48","94","0","72","55","58","100","33","77","4","18","0","1"
13655,"30","94","73","100","29","91","6","52","51","46","100","24","45","0","0","14","1"
13661,"100","89","80","100","41","91","47","63","70","38","77","9","40","0","0","4","1"
13669,"20","100","17","60","51","27","17","0","6","40","0","82","42","96","100","96","1"
13700,"15","96","3","61","57","49","42","0","10","13","0","66","44","95","100","100","1"
13706,"30","100","0","58","23","39","63","14","13","0","24","52","44","96","100","93","1"
13718,"100","98","59","100","19","86","8","54","42","54","67","28","42","3","0","0","1"
13719,"42","100","11","71","38","34","17","0","0","26","3","79","50","90","100","85","1"
13770,"52","90","100","100","60","92","32","60","79","57","86","22","44","0","0","14","1"
13798,"58","90","8","63","37","44","18","0","0","18","4","74","41","100","100","98","1"
13805,"9","84","4","56","43","26","22","0","0","27","18","67","44","94","100","100","1"
13811,"34","100","18","63","63","34","34","0","0","15","14","58","40","93","100","89","1"
13831,"25","83","12","54","62","29","37","0","6","20","0","62","37","92","100","100","1"
13862,"30","96","0","66","59","46","55","2","10","0","20","48","34","95","100","100","1"
13878,"28","94","99","100","69","95","22","70","51","53","100","27","67","0","0","9","1"
13884,"36","80","0","64","37","41","25","0","1","8","7","54","43","88","100","100","1"
13900,"42","91","48","52","52","15","8","0","0","31","11","70","53","90","100","100","1"
13905,"18","79","30","66","78","36","52","0","10","20","0","61","21","95","100","100","1"
13972,"11","100","24","67","54","32","39","0","8","29","0","71","43","88","100","90","1"
13991,"24","96","84","99","100","100","25","93","28","57","93","36","73","0","0","1","1"
14017,"100","94","50","100","22","76","30","51","78","44","87","14","48","0","0","5","1"
14029,"10","91","20","59","83","56","100","13","40","0","3","42","0","82","60","100","1"
14039,"0","90","22","62","79","45","56","0","22","40","4","93","25","99","100","100","1"
14052,"37","95","33","68","55","31","18","0","0","35","2","80","46","100","100","94","1"
14063,"5","81","1","55","29","22","4","0","0","44","16","80","57","95","100","100","1"
14067,"43","99","21","66","60","32","32","0","0","25","10","75","51","100","100","82","1"
14075,"27","95","39","62","75","32","39","0","0","19","12","65","45","97","100","100","1"
14084,"15","80","0","48","45","31","51","0","30","36","13","76","46","100","100","99","1"
14093,"0","63","30","50","64","20","50","0","23","35","16","73","53","96","100","100","1"
14105,"100","98","58","100","23","90","32","60","72","57","69","19","33","0","0","14","1"
14116,"100","98","60","100","12","99","28","64","73","58","78","21","39","0","0","3","1"
14118,"54","100","0","78","47","62","63","20","13","0","18","49","40","95","100","95","1"
14121,"35","94","0","66","51","54","48","13","1","0","17","47","35","94","100","100","1"
14123,"33","95","29","61","71","39","38","0","0","15","10","71","45","98","100","100","1"
14124,"0","91","10","57","48","30","20","0","8","34","12","79","49","100","100","91","1"
14148,"37","78","8","60","56","34","44","0","0","10","10","55","43","86","100","100","1"
14162,"100","97","69","100","39","86","59","62","78","36","63","9","30","2","0","0","1"
14172,"70","91","100","100","61","86","35","60","60","50","64","21","34","0","0","15","1"
14174,"100","97","62","100","33","86","38","61","72","51","63","21","36","0","0","0","1"
14179,"100","85","66","100","36","78","50","50","90","36","87","2","44","0","0","4","1"
14181,"17","100","12","65","55","42","29","0","0","20","8","74","43","98","100","100","1"
14187,"27","95","18","56","38","23","4","0","0","51","21","91","60","100","100","99","1"
14189,"39","90","0","69","72","55","69","12","2","0","7","47","22","91","100","100","1"
14201,"100","100","57","100","29","77","22","54","65","53","61","16","22","0","0","9","1"
14207,"40","92","100","100","97","94","43","77","57","54","89","27","55","0","0","8","1"
14209,"47","80","80","97","100","100","59","89","29","63","54","33","40","4","0","0","1"
14216,"27","84","27","56","74","30","42","0","17","27","0","64","35","94","100","100","1"
14226,"54","86","88","100","100","99","64","89","36","64","50","31","32","0","0","1","1"
14234,"24","86","21","63","66","32","27","0","1","25","0","72","37","100","100","99","1"
14245,"30","71","20","52","40","12","7","0","0","52","24","84","61","95","100","100","1"
14257,"17","87","0","65","46","54","63","11","18","0","19","55","33","99","100","100","1"
14275,"52","77","22","60","62","30","38","0","0","16","8","70","52","86","100","100","1"
14284,"29","100","21","58","65","40","61","0","7","12","0","58","29","94","100","97","1"
14294,"43","93","22","71","43","33","9","0","0","36","9","81","51","100","100","99","1"
14305,"4","92","4","62","42","32","13","0","2","34","0","72","38","100","100","97","1"
14329,"100","100","48","100","9","75","8","52","61","56","85","25","49","0","0","5","1"
14366,"33","100","100","99","66","98","7","86","32","65","81","38","66","5","0","0","1"
14371,"28","85","11","63","82","37","88","0","9","1","0","46","16","88","100","100","1"
14380,"26","80","23","56","60","24","28","0","0","24","13","68","47","97","100","100","1"
14381,"62","90","100","100","90","95","54","84","46","55","64","24","35","0","0","4","1"
14425,"0","72","0","77","23","64","73","37","25","0","9","62","33","100","100","100","1"
14436,"25","80","0","76","35","44","76","15","10","0","4","41","30","88","100","100","1"
14440,"0","85","25","64","63","36","52","0","30","31","13","69","44","98","100","100","1"
14456,"22","89","0","58","44","32","27","0","1","33","5","84","48","100","100","91","1"
14480,"40","99","100","87","43","100","30","56","73","44","98","9","38","0","0","31","1"
14507,"32","92","100","99","100","100","33","88","12","48","81","39","71","6","0","0","1"
14509,"66","83","100","100","98","98","59","88","29","67","49","38","38","10","0","0","1"
14541,"34","65","42","37","39","5","0","0","6","35","27","67","61","88","100","100","1"
14574,"62","81","100","100","84","91","40","76","67","64","83","26","46","0","0","9","1"
14587,"24","100","17","56","58","34","37","0","0","23","12","59","51","85","100","93","1"
14593,"11","95","8","55","56","35","33","0","0","25","1","65","43","92","100","100","1"
14615,"11","100","8","63","44","36","37","0","0","21","1","59","46","84","100","91","1"
14638,"21","85","73","100","100","96","44","87","10","74","62","51","47","0","0","11","1"
14643,"42","100","34","62","55","29","40","0","0","23","5","55","51","71","100","83","1"
14650,"41","89","29","61","76","47","49","7","0","0","21","46","51","89","100","100","1"
14679,"48","87","100","100","91","93","42","76","64","54","92","28","55","1","0","0","1"
14685,"100","100","52","97","23","87","27","58","74","54","78","19","39","0","0","13","1"
14690,"19","100","0","65","49","36","33","0","1","14","4","67","41","94","100","97","1"
14691,"20","98","1","64","46","35","30","0","1","24","0","71","43","95","100","100","1"
14700,"100","95","83","100","29","98","0","66","27","57","75","46","64","12","17","0","1"
14718,"100","100","62","97","39","73","46","49","84","41","71","14","34","0","0","8","1"
14724,"29","100","22","63","68","33","24","0","0","24","1","72","40","92","100","94","1"
14772,"41","83","28","54","100","50","76","12","7","0","0","41","14","84","87","100","1"
14775,"52","100","100","99","45","92","15","56","57","64","82","38","49","4","0","0","1"
14783,"42","87","100","100","54","83","12","53","53","62","87","41","56","6","0","0","1"
14786,"23","75","77","98","100","100","42","88","23","50","84","46","62","10","0","0","1"
14805,"0","63","34","43","58","12","59","0","34","30","21","62","51","88","100","100","1"
14821,"16","100","0","55","64","39","46","0","12","15","0","63","29","96","100","98","1"
14846,"42","93","5","61","93","54","100","14","21","0","0","41","14","83","97","100","1"
14870,"13","87","5","54","40","24","6","0","3","38","0","77","44","95","100","100","1"
14877,"14","96","77","100","30","99","20","60","66","61","100","32","54","0","0","17","1"
14882,"100","100","70","100","27","97","5","62","34","58","61","36","41","1","0","0","1"
14905,"9","100","0","62","52","48","45","0","2","13","3","68","37","99","100","100","1"
14910,"65","87","100","100","73","87","37","74","64","58","67","21","36","0","0","12","1"
14914,"24","91","22","61","38","25","1","0","0","39","0","78","46","95","100","100","1"
14920,"100","92","66","100","39","82","42","57","70","38","64","9","32","0","0","8","1"
14921,"58","85","100","100","65","96","24","70","23","55","70","48","49","13","0","0","1"
14925,"55","92","100","100","73","86","43","59","72","40","89","12","46","0","0","0","1"
14927,"15","85","9","47","70","44","54","0","9","12","0","68","37","97","100","100","1"
14933,"14","95","85","100","45","96","9","68","44","57","100","33","59","0","0","16","1"
14957,"30","86","20","58","68","35","32","0","0","18","16","64","39","100","100","100","1"
14966,"25","95","18","52","59","29","22","0","0","16","18","66","52","99","100","100","1"
14968,"100","100","74","99","46","98","45","72","65","51","53","26","29","9","0","0","1"
15002,"100","100","55","98","17","83","0","52","43","61","65","37","44","7","4","0","1"
15011,"36","84","0","66","84","57","100","18","22","0","5","40","9","86","84","100","1"
15027,"53","96","91","100","41","87","47","64","92","47","100","22","55","4","0","0","1"
15032,"39","94","26","62","93","41","67","0","7","6","0","51","18","90","100","100","1"
15044,"93","100","63","99","43","85","53","54","100","48","89","23","45","8","0","0","1"
15061,"10","67","30","37","16","3","0","0","12","36","22","73","55","94","100","100","1"
15073,"50","90","33","62","73","32","55","0","27","33","0","66","27","95","100","100","1"
15114,"47","87","100","100","50","85","17","56","62","60","88","34","52","7","0","0","1"
15123,"18","95","22","59","73","44","44","0","11","31","0","85","51","100","100","99","1"
15129,"42","76","79","100","86","89","45","64","60","42","100","20","56","0","0","2","1"
15140,"100","98","61","100","41","90","28","61","59","61","57","40","29","19","0","0","1"
15142,"22","83","0","55","48","40","45","0","15","25","15","72","52","100","100","85","1"
15158,"49","81","50","50","85","25","42","0","0","16","15","58","44","91","100","100","1"
15165,"43","81","11","69","78","51","100","17","27","0","0","32","14","80","84","100","1"
15176,"41","82","77","98","100","100","59","90","28","69","54","42","39","13","0","0","1"
15186,"17","100","8","53","61","47","42","0","3","17","0","80","44","96","100","94","1"
15188,"32","99","35","63","56","21","17","0","0","36","12","82","54","100","100","83","1"
15225,"15","100","0","68","39","37","19","0","1","45","6","89","53","97","100","99","1"
15255,"34","93","92","100","53","92","0","73","49","61","100","40","86","10","26","0","1"
15272,"47","88","98","100","81","93","31","76","61","54","100","31","56","7","0","0","1"
15274,"0","100","16","66","45","34","66","0","39","28","18","62","40","94","100","99","1"
15279,"89","94","56","100","15","83","34","56","89","54","100","19","55","0","0","10","1"
15291,"100","98","61","100","20","89","0","58","36","54","65","37","44","2","6","0","1"
15302,"35","96","12","50","51","38","52","0","0","2","10","53","37","95","100","100","1"
15308,"23","93","30","64","90","36","59","0","12","12","0","54","13","91","100","100","1"
15358,"41","96","19","61","66","43","42","2","0","0","18","51","49","89","100","100","1"
15364,"100","98","85","99","38","100","26","71","66","56","79","36","40","18","0","0","1"
15373,"31","95","2","68","64","58","62","10","0","0","10","52","31","100","100","100","1"
15374,"29","100","19","44","27","0","5","9","0","62","30","88","65","95","100","97","1"
15384,"59","82","92","100","72","93","32","71","58","42","100","22","58","0","0","2","1"
15400,"37","91","84","100","100","96","52","87","32","57","74","38","41","1","0","0","1"
15410,"14","94","4","63","43","36","36","0","10","27","0","72","47","92","100","100","1"
15435,"29","88","23","57","73","40","51","0","0","13","12","58","42","94","100","100","1"
15459,"58","85","100","100","87","94","52","72","59","43","85","27","47","2","0","0","1"
15473,"100","94","54","96","9","100","0","60","43","52","72","24","41","0","13","8","1"
15478,"21","90","3","52","77","55","62","5","0","0","6","52","14","100","100","100","1"
15491,"44","93","9","64","82","45","63","8","0","0","13","44","28","88","100","100","1"
15503,"38","83","40","53","55","14","11","0","0","30","10","71","52","92","100","100","1"
15507,"66","91","100","100","90","89","53","77","29","52","58","30","38","4","0","0","1"
15518,"1","91","11","49","72","47","53","0","13","12","0","68","36","97","100","100","1"
15526,"29","94","90","100","43","100","8","70","56","61","100","39","61","11","0","0","1"
15540,"100","91","63","100","18","89","5","53","42","50","77","32","47","4","0","0","1"
15545,"32","94","23","68","60","34","33","0","0","26","17","69","41","98","100","100","1"
15557,"64","92","100","100","85","98","47","80","70","54","82","18","43","0","0","13","1"
15568,"22","100","0","55","40","59","53","2","19","0","20","66","41","99","100","98","1"
15576,"19","100","0","52","75","73","100","28","27","0","3","46","1","94","92","99","1"
15580,"7","76","27","45","48","7","8","0","0","40","8","81","52","98","100","100","1"
15585,"53","86","59","50","52","12","6","0","0","25","18","62","53","89","100","100","1"
15632,"22","98","0","57","42","35","7","0","3","36","7","86","49","100","100","98","1"
15642,"51","95","7","60","52","40","19","0","0","26","4","77","38","99","100","100","1"
15649,"42","79","93","100","89","96","39","78","51","43","100","33","56","3","0","0","1"
15668,"26","90","17","64","60","34","53","0","20","32","0","73","31","96","100","100","1"
15669,"23","88","0","55","25","50","64","20","17","0","21","54","35","97","100","100","1"
15678,"40","90","87","100","81","93","39","71","70","46","100","23","52","6","0","0","1"
15679,"52","100","28","75","63","36","41","0","0","18","16","66","47","99","100","99","1"
15690,"39","89","37","59","65","29","24","0","6","37","0","80","38","100","100","98","1"
15705,"32","96","0","67","61","58","74","14","24","0","20","50","38","91","100","100","1"
15708,"59","94","20","66","58","46","50","2","0","0","21","49","49","96","100","100","1"
15721,"24","88","0","46","54","45","20","0","24","55","38","95","51","94","100","100","1"
15723,"38","100","6","62","44","35","7","0","0","23","9","72","45","98","100","96","1"
15732,"3","90","69","100","58","98","0","77","36","58","100","44","73","9","7","0","1"
15746,"22","71","55","44","42","11","0","0","1","37","13","71","53","91","100","100","1"
15755,"55","85","100","100","82","94","38","74","90","65","94","36","52","13","0","0","1"
15784,"36","90","79","100","100","98","50","88","32","59","76","37","47","5","0","0","1"
15846,"46","92","18","64","62","40","28","0","0","9","4","63","28","100","100","98","1"
15857,"64","99","23","76","61","60","57","21","0","0","9","50","38","94","100","100","1"
15889,"41","87","0","63","62","62","84","24","8","0","6","44","11","93","100","100","1"
15891,"18","92","11","56","43","23","21","0","4","37","0","74","47","92","100","100","1"
15893,"39","95","9","72","63","48","57","9","0","0","19","47","38","92","100","100","1"
15894,"20","90","0","58","37","52","44","3","0","0","12","64","44","99","100","100","1"
15896,"41","96","91","100","46","94","5","63","42","48","100","32","63","5","0","0","1"
15903,"55","97","40","61","55","24","8","0","0","33","10","80","43","100","100","96","1"
15905,"63","85","26","59","64","42","53","0","0","1","22","44","46","87","100","100","1"
15915,"100","88","72","100","27","88","6","58","34","51","68","37","43","8","0","0","1"
15918,"17","99","39","72","94","42","65","0","16","25","0","74","27","100","100","99","1"
15931,"29","95","2","58","44","40","30","0","0","9","16","60","50","91","100","100","1"
15939,"22","91","24","64","80","38","67","0","0","13","4","57","26","97","100","100","1"
15942,"54","93","100","100","60","97","26","71","75","59","88","29","48","5","0","0","1"
15946,"14","92","0","64","66","61","77","7","41","0","23","55","30","95","100","100","1"
15976,"27","94","0","70","59","55","52","8","0","0","8","53","37","94","100","100","1"
15979,"6","90","0","52","38","29","8","0","2","34","13","78","52","96","100","100","1"
15983,"17","82","1","72","40","58","81","28","5","0","0","46","1","93","100","100","1"
16063,"11","87","20","53","95","53","100","12","29","0","0","42","0","86","71","100","1"
16116,"33","91","7","71","57","45","52","0","0","6","8","58","28","100","100","97","1"
16119,"30","82","8","69","36","30","2","0","0","36","14","84","54","100","100","97","1"
16123,"100","95","52","99","0","100","18","68","70","65","82","28","42","0","1","7","1"
16143,"35","85","89","100","100","96","36","88","33","54","95","40","60","6","0","0","1"
16156,"11","100","12","69","60","44","38","0","4","29","0","79","35","99","100","99","1"
16157,"10","79","21","59","36","16","0","0","2","46","11","94","55","100","100","86","1"
16159,"28","94","42","57","42","18","2","0","0","37","16","78","56","95","100","100","1"
16160,"100","85","59","98","11","100","6","59","34","48","68","23","30","0","0","10","1"
16181,"29","87","100","100","83","97","10","84","31","63","93","46","66","17","0","0","1"
16192,"70","97","28","78","65","53","57","9","0","0","13","42","51","86","100","100","1"
16209,"100","84","56","96","2","100","3","58","37","52","78","31","46","0","0","10","1"
