"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
2224,"8","8","64","1","0.203","0.344","4.33","13","22","3","0"
2226,"9","46","414","5.111","0.292","0.676","1.92","121","280","63","0"
2227,"10","2","20","0.2","0.55","0.6","11","11","12","1","0"
2228,"8","44","352","5.5","0.426","0.938","3.26","150","330","46","0"
2229,"8","45","360","5.625","0.469","0.956","2.91","169","344","58","0"
2230,"8","43","344","5.375","0.349","0.814","2.26","120","280","53","0"
2231,"11","301","3311","27.364","0.308","0.735","2.22","1019","2435","458","0"
2232,"9","122","1098","13.556","0.339","0.947","2.57","372","1040","145","0"
2234,"8","20","160","2.5","0.525","0.938","3.5","84","150","24","0"
2235,"9","49","441","5.444","0.594","0.998","3.05","262","440","86","0"
2236,"8","67","536","8.375","0.381","0.746","2.49","204","400","82","0"
2237,"9","82","738","9.111","0.247","0.935","2.09","182","690","87","0"
2238,"9","97","873","10.778","0.328","0.921","1.77","286","804","162","0"
2239,"8","82","656","10.25","0.398","0.951","2.51","261","624","104","0"
2240,"12","43","516","3.583","0.293","0.791","2.29","151","408","66","0"
2241,"1","36","36","36","0.722","1","8.67","26","36","3","0"
2243,"10","101","1010","10.1","0.466","0.893","3.02","471","902","156","0"
2244,"9","86","774","9.556","0.301","0.647","2.22","233","501","105","0"
2246,"1","19","19","19","0.789","1","3.75","15","19","4","0"
2247,"1","9","9","9","0.778","1","7","7","9","1","0"
2248,"8","42","336","5.25","0.363","0.97","2.18","122","326","56","0"
2250,"8","14","112","1.75","0.223","0.661","3.57","25","74","7","0"
2251,"7","27","189","3.857","0.101","0.619","3.8","19","117","5","0"
2252,"11","85","935","7.727","0.25","0.664","1.73","234","621","135","0"
2253,"9","76","684","8.444","0.363","0.874","2.18","248","598","114","0"
2254,"6","17","102","2.833","0.275","0.824","2","28","84","14","0"
2257,"9","21","189","2.333","0.392","0.899","2.74","74","170","27","0"
2258,"10","63","630","6.3","0.294","0.895","2.2","185","564","84","0"
2259,"9","82","738","9.111","0.385","0.935","2.29","284","690","124","0"
2261,"9","36","324","4","0.611","0.926","3.36","198","300","59","0"
2262,"10","85","850","8.5","0.333","0.696","2.28","283","592","124","0"
2265,"1","8","8","8","0.875","1","7","7","8","1","0"
2267,"8","47","376","5.875","0.362","0.88","2","136","331","68","0"
2268,"7","100","700","14.286","0.411","0.849","1.83","288","594","157","0"
2271,"12","23","276","1.917","0.417","0.623","8.21","115","172","14","0"
2272,"10","51","510","5.1","0.306","0.855","2.29","156","436","68","0"
2273,"9","33","297","3.667","0.458","0.983","2.19","136","292","62","0"
2275,"9","121","1089","13.444","0.399","0.843","2.4","434","918","181","0"
2276,"9","47","423","5.222","0.385","0.917","2.51","163","388","65","0"
2277,"7","31","217","4.429","0.295","0.857","1.64","64","186","39","0"
2278,"11","8","88","0.727","0.602","1","4.08","53","88","13","0"
2280,"9","98","882","10.889","0.491","0.974","2.78","433","859","156","0"
2281,"9","21","189","2.333","0.487","0.857","3.29","92","162","28","0"
2282,"10","21","210","2.1","0.348","0.757","3.17","73","159","23","0"
2283,"10","79","790","7.9","0.347","0.784","2.25","274","619","122","0"
2285,"9","6","54","0.667","0.667","0.759","18","36","41","2","0"
2287,"1","7","7","7","1","1","7","7","7","1","0"
2288,"10","42","420","4.2","0.317","0.85","2.22","133","357","60","0"
2289,"7","31","217","4.429","0.267","0.714","2.15","58","155","27","0"
2290,"7","121","847","17.286","0.276","0.607","1.79","234","514","131","0"
2291,"11","21","231","1.909","0.468","0.719","7.2","108","166","15","0"
2292,"11","8","88","0.727","0.693","0.989","10.17","61","87","6","0"
2293,"9","36","324","4","0.506","0.901","2.83","164","292","58","0"
2294,"9","49","441","5.444","0.592","0.998","2.97","261","440","88","0"
2296,"8","17","136","2.125","0.309","0.676","2.33","42","92","18","0"
2297,"8","53","424","6.625","0.337","0.889","1.64","143","377","87","0"
2301,"9","64","576","7.111","0.491","0.984","2.57","283","567","110","0"
2302,"8","36","288","4.5","0.559","0.944","3.04","161","272","53","0"
2303,"8","21","168","2.625","0.381","0.845","1.88","64","142","34","0"
2304,"9","121","1089","13.444","0.322","0.776","2.08","351","845","169","0"
2305,"9","100","900","11.111","0.463","0.908","2.92","417","817","143","0"
2306,"8","71","568","8.875","0.329","0.776","1.83","187","441","102","0"
2308,"14","300","4200","21.429","0.263","0.607","2.39","1106","2550","462","0"
2309,"14","38","532","2.714","0.244","0.489","2.95","130","260","44","0"
2310,"10","19","190","1.9","0.332","0.695","3.71","63","132","17","0"
2312,"9","21","189","2.333","0.519","0.942","3.27","98","178","30","0"
2313,"10","67","670","6.7","0.291","0.649","2.17","195","435","90","0"
2314,"9","32","288","3.556","0.354","0.806","1.7","102","232","60","0"
2316,"12","98","1176","8.167","0.245","0.624","2.23","288","734","129","0"
2317,"9","13","117","1.444","0.103","0.752","4","12","88","3","0"
2318,"11","101","1111","9.182","0.264","0.852","1.65","293","947","178","0"
2319,"9","52","468","5.778","0.37","0.996","1.71","173","466","101","0"
2320,"11","14","154","1.273","0.442","0.981","2.43","68","151","28","0"
2322,"10","101","1010","10.1","0.45","0.869","2.95","455","878","154","0"
2324,"1","44","44","44","0.909","1","20","40","44","2","0"
2326,"5","31","155","6.2","0.239","0.974","2.06","37","151","18","0"
2327,"2","14","28","7","0.286","0.821","8","8","23","1","0"
2328,"12","8","96","0.667","0.51","0.927","7","49","89","7","0"
2329,"11","9","99","0.818","0.545","0.818","9","54","81","6","0"
2330,"9","39","351","4.333","0.444","0.923","2.74","156","324","57","0"
2331,"10","97","970","9.7","0.423","0.832","2.48","410","807","165","0"
2332,"10","49","490","4.9","0.529","0.939","3.01","259","460","86","0"
2333,"9","24","216","2.667","0.356","0.907","2.2","77","196","35","0"
2334,"10","98","980","9.8","0.3","0.781","1.72","294","765","171","0"
2336,"10","29","290","2.9","0.221","0.572","3.56","64","166","18","0"
2338,"10","100","1000","10","0.444","0.924","2.64","444","924","168","0"
2339,"9","32","288","3.556","0.299","0.691","2.1","86","199","41","0"
2340,"9","86","774","9.556","0.337","0.757","2.19","261","586","119","0"
2341,"8","41","328","5.125","0.393","0.976","2.19","129","320","59","0"
2342,"10","44","440","4.4","0.441","0.92","2.94","194","405","66","0"
2343,"1","14","14","14","0.857","1","12","12","14","1","0"
2344,"8","3","24","0.375","0.458","0.667","2.2","11","16","5","0"
2345,"8","14","112","1.75","0.277","0.643","2.82","31","72","11","0"
2346,"6","2","12","0.333","0.667","1","8","8","12","1","0"
2347,"8","21","168","2.625","0.208","0.762","2.92","35","128","12","0"
2348,"10","8","80","0.8","0.688","1","9.17","55","80","6","0"
2349,"9","36","324","4","0.491","0.84","3.31","159","272","48","0"
2350,"9","36","324","4","0.352","0.806","1.75","114","261","65","0"
2352,"9","33","297","3.667","0.354","0.781","1.84","105","232","57","0"
2353,"9","63","567","7","0.289","0.778","1.98","164","441","83","0"
2354,"11","74","814","6.727","0.267","0.628","2.21","217","511","98","0"
2356,"9","46","414","5.111","0.338","0.872","1.67","140","361","84","0"
2357,"11","43","473","3.909","0.281","0.774","2.18","133","366","61","0"
2358,"8","76","608","9.5","0.388","0.903","2.11","236","549","112","0"
2359,"9","36","324","4","0.531","0.938","2.82","172","304","61","0"
2361,"10","100","1000","10","0.41","0.846","2.81","410","846","146","0"
2362,"8","46","368","5.75","0.356","0.927","2.11","131","341","62","0"
2364,"9","76","684","8.444","0.358","0.795","2.19","245","544","112","0"
2365,"9","93","837","10.333","0.259","0.895","1.74","217","749","125","0"
2367,"13","487","6331","37.462","0.247","0.63","2.1","1564","3988","745","0"
2370,"6","89","534","14.833","0.303","0.79","1.82","162","422","89","0"
2372,"8","71","568","8.875","0.407","0.903","2.06","231","513","112","0"
2374,"9","59","531","6.556","0.492","0.861","3.22","261","457","81","0"
2375,"14","410","5740","29.286","0.241","0.592","2.4","1382","3400","576","0"
2376,"10","86","860","8.6","0.423","0.914","2.44","364","786","149","0"
2377,"12","66","792","5.5","0.402","0.78","3.03","318","618","105","0"
2378,"11","79","869","7.182","0.342","0.841","2.2","297","731","135","0"
2379,"23","87","2001","3.783","0.286","0.671","2.36","572","1342","242","0"
2380,"8","62","496","7.75","0.357","0.968","1.79","177","480","99","0"
2381,"6","43","258","7.167","0.337","0.969","1.67","87","250","52","0"
2382,"8","44","352","5.5","0.415","0.949","2.06","146","334","71","0"
2383,"4","114","456","28.5","0.393","0.978","1.83","179","446","98","0"
2384,"8","17","136","2.125","0.529","0.853","2.88","72","116","25","0"
2385,"7","27","189","3.857","0.344","1","1.97","65","189","33","0"
2386,"8","70","560","8.75","0.463","0.986","2.31","259","552","112","0"
2387,"13","147","1911","11.308","0.358","0.703","3.6","684","1343","190","0"
2388,"10","124","1240","12.4","0.473","0.814","3.43","587","1009","171","0"
2389,"13","409","5317","31.462","0.277","0.573","2.65","1475","3049","556","0"
2391,"9","77","693","8.556","0.486","0.97","2.63","337","672","128","0"
2392,"6","101","606","16.833","0.411","0.876","1.93","249","531","129","0"
2393,"10","35","350","3.5","0.42","0.826","2.23","147","289","66","0"
2394,"13","58","754","4.462","0.336","0.599","3.2","253","452","79","0"
2395,"9","35","315","3.889","0.59","0.86","3.88","186","271","48","0"
2396,"9","13","117","1.444","0.53","0.88","3.26","62","103","19","0"
2397,"9","108","972","12","0.376","0.815","2.35","365","792","155","0"
2398,"5","116","580","23.2","0.376","0.784","2.18","218","455","100","0"
2399,"8","70","560","8.75","0.332","0.896","1.66","186","502","112","0"
2401,"13","386","5018","29.692","0.286","0.658","2.19","1437","3301","657","0"
2402,"9","60","540","6.667","0.413","0.822","2.75","223","444","81","0"
2403,"8","107","856","13.375","0.384","0.86","2.12","329","736","155","0"
2404,"7","115","805","16.429","0.273","0.704","1.72","220","567","128","0"
2405,"7","191","1337","27.286","0.307","0.748","1.66","411","1000","247","0"
2406,"6","50","300","8.333","0.327","0.777","2","98","233","49","0"
2407,"12","232","2784","19.333","0.316","0.703","2.34","879","1957","375","0"
2408,"8","185","1480","23.125","0.265","0.611","1.97","392","905","199","0"
2409,"6","89","534","14.833","0.298","0.758","1.61","159","405","99","0"
2410,"10","83","830","8.3","0.425","0.86","2.92","353","714","121","0"
2411,"8","132","1056","16.5","0.36","0.921","2.1","380","973","181","0"
2413,"13","348","4524","26.769","0.308","0.721","2.57","1395","3262","543","0"
2414,"10","121","1210","12.1","0.402","0.849","2.7","486","1027","180","0"
2418,"18","48","864","2.667","0.264","0.524","4.3","228","453","53","0"
2420,"7","55","385","7.857","0.374","0.821","2.09","144","316","69","0"
2422,"10","271","2710","27.1","0.251","0.754","1.88","679","2044","362","0"
2425,"9","272","2448","30.222","0.277","0.67","1.86","679","1640","365","0"
2426,"8","69","552","8.625","0.279","0.687","1.5","154","379","103","0"
2428,"8","21","168","2.625","0.28","0.923","1.38","47","155","34","0"
2429,"10","60","600","6","0.203","0.595","1.44","122","357","85","0"
2430,"7","6","42","0.857","0.214","0.286","9","9","12","1","0"
2433,"10","272","2720","27.2","0.211","0.772","1.43","573","2101","401","0"
2434,"2","49","98","24.5","0.51","0.51","50","50","50","1","0"
2435,"7","11","77","1.571","0.351","0.87","1.8","27","67","15","0"
2437,"10","234","2340","23.4","0.188","0.614","1.38","441","1437","319","0"
2439,"10","271","2710","27.1","0.193","0.769","1.28","524","2084","409","0"
2440,"7","48","336","6.857","0.292","0.804","1.53","98","270","64","0"
2441,"11","243","2673","22.091","0.117","0.342","1.41","314","914","223","0"
2443,"11","103","1133","9.364","0.156","0.576","1.44","177","653","123","0"
2444,"5","18","90","3.6","0.378","0.956","1.62","34","86","21","0"
2445,"5","7","35","1.4","0.4","0.657","2.33","14","23","6","0"
2446,"5","12","60","2.4","0.317","0.75","1.46","19","45","13","0"
2447,"5","21","105","4.2","0.295","0.733","1.48","31","77","21","0"
2448,"5","13","65","2.6","0.308","0.831","1.82","20","54","11","0"
2449,"8","12","96","1.5","0.208","0.771","1.11","20","74","18","0"
2450,"7","32","224","4.571","0.339","0.786","1.46","76","176","52","0"
2451,"6","28","168","4.667","0.149","0.375","1.47","25","63","17","0"
2452,"6","12","72","2","0.319","0.653","2.09","23","47","11","0"
2453,"4","12","48","3","0.292","1","1.4","14","48","10","0"
2455,"7","125","875","17.857","0.27","0.858","1.4","236","751","168","0"
2456,"7","8","56","1.143","0.375","0.964","1.62","21","54","13","0"
2457,"5","17","85","3.4","0.4","0.965","1.31","34","82","26","0"
2458,"5","3","15","0.6","0.6","1","4.5","9","15","2","0"
2459,"7","33","231","4.714","0.342","0.74","1.49","79","171","53","0"
2460,"5","16","80","3.2","0.425","1","1.36","34","80","25","0"
2461,"7","29","203","4.143","0.286","0.67","1.71","58","136","34","0"
2462,"9","46","414","5.111","0.242","0.737","1.47","100","305","68","0"
2463,"5","3","15","0.6","0.6","0.867","4.5","9","13","2","0"
2464,"7","14","98","2","0.296","0.898","1.61","29","88","18","0"
2465,"7","19","133","2.714","0.331","0.767","1.42","44","102","31","0"
2466,"7","4","28","0.571","0.321","1","3","9","28","3","0"
2467,"9","46","414","5.111","0.242","0.575","1.43","100","238","70","0"
2468,"8","38","304","4.75","0.25","0.73","1.38","76","222","55","0"
2469,"7","27","189","3.857","0.28","0.947","1.33","53","179","40","0"
2470,"7","19","133","2.714","0.346","1","1.44","46","133","32","0"
2471,"9","5","45","0.556","0.244","0.867","2.2","11","39","5","0"
2472,"7","87","609","12.429","0.232","0.589","1.27","141","359","111","0"
2473,"5","14","70","2.8","0.414","0.943","1.38","29","66","21","0"
2474,"9","37","333","4.111","0.213","0.706","1.54","71","235","46","0"
2475,"9","214","1926","23.778","0.23","0.748","1.44","443","1440","307","0"
2477,"8","5","40","0.625","0.375","0.95","1.67","15","38","9","0"
2478,"6","33","198","5.5","0.268","0.848","1.39","53","168","38","0"
2480,"7","14","98","2","0.337","0.786","1.38","33","77","24","0"
2481,"9","48","432","5.333","0.273","0.685","1.42","118","296","83","0"
2482,"5","11","55","2.2","0.455","1","1.67","25","55","15","0"
2485,"6","25","150","4.167","0.273","0.787","1.17","41","118","35","0"
2486,"9","49","441","5.444","0.247","0.721","1.51","109","318","72","0"
2487,"7","38","266","5.429","0.259","0.688","1.5","69","183","46","0"
2488,"7","8","56","1.143","0.357","0.804","2","20","45","10","0"
2489,"10","262","2620","26.2","0.19","0.601","1.32","499","1575","377","0"
2491,"7","16","112","2.286","0.339","1","1.41","38","112","27","0"
2492,"7","38","266","5.429","0.248","0.955","1.32","66","254","50","0"
2493,"8","21","168","2.625","0.232","0.643","1.3","39","108","30","0"
2494,"5","13","65","2.6","0.4","1","1.18","26","65","22","0"
2495,"8","93","744","11.625","0.185","0.538","1.24","138","400","111","0"
2497,"7","20","140","2.857","0.257","0.879","1.13","36","123","32","0"
2498,"7","13","91","1.857","0.308","0.934","1.65","28","85","17","0"
2499,"5","28","140","5.6","0.307","0.814","1.3","43","114","33","0"
2500,"9","54","486","6","0.191","0.741","1.24","93","360","75","0"
2501,"6","21","126","3.5","0.349","1","1.33","44","126","33","0"
2503,"7","48","336","6.857","0.268","0.652","1.61","90","219","56","0"
2504,"7","8","56","1.143","0.268","0.679","1.15","15","38","13","0"
2505,"8","10","80","1.25","0.238","0.925","1.73","19","74","11","0"
2506,"7","13","91","1.857","0.341","0.846","1.82","31","77","17","0"
2507,"7","39","273","5.571","0.33","0.853","1.43","90","233","63","0"
2508,"5","18","90","3.6","0.467","0.867","1.91","42","78","22","0"
2509,"7","11","77","1.571","0.351","0.727","1.5","27","56","18","0"
2510,"7","21","147","3","0.327","0.912","1.71","48","134","28","0"
2511,"1","14","14","14","0.571","1","2.67","8","14","3","0"
2513,"7","9","63","1.286","0.238","0.619","1.5","15","39","10","0"
2514,"7","33","231","4.714","0.368","0.896","1.57","85","207","54","0"
2515,"7","8","56","1.143","0.268","0.768","1.07","15","43","14","0"
2517,"5","11","55","2.2","0.364","1","1.33","20","55","15","0"
2518,"8","15","120","1.875","0.267","0.908","1.23","32","109","26","0"
2519,"7","21","147","3","0.279","0.748","1.52","41","110","27","0"
2520,"9","19","171","2.111","0.292","0.684","1.52","50","117","33","0"
2521,"7","22","154","3.143","0.325","0.805","1.32","50","124","38","0"
2522,"8","27","216","3.375","0.282","0.87","1.36","61","188","45","0"
2523,"7","8","56","1.143","0.393","1","1.69","22","56","13","0"
2524,"7","21","147","3","0.306","0.741","1.67","45","109","27","0"
2525,"6","30","180","5","0.311","0.8","1.22","56","144","46","0"
2526,"7","34","238","4.857","0.286","0.756","1.36","68","180","50","0"
2527,"7","6","42","0.857","0.452","0.976","1.73","19","41","11","0"
2528,"7","14","98","2","0.347","1","2","34","98","17","0"
2529,"8","7","56","0.875","0.268","0.786","1.67","15","44","9","0"
2530,"7","14","98","2","0.316","0.847","1.48","31","83","21","0"
2532,"7","11","77","1.571","0.325","0.831","1.47","25","64","17","0"
2534,"6","11","66","1.833","0.333","0.97","1.57","22","64","14","0"
2536,"7","9","63","1.286","0.349","0.746","1.69","22","47","13","0"
2537,"9","22","198","2.444","0.212","0.763","1.62","42","151","26","0"
2538,"7","47","329","6.714","0.286","0.717","1.4","94","236","67","0"
2539,"6","11","66","1.833","0.318","0.712","1.31","21","47","16","0"
2540,"6","12","72","2","0.361","0.903","1.44","26","65","18","0"
2541,"7","11","77","1.571","0.416","0.974","1.52","32","75","21","0"
2542,"9","52","468","5.778","0.306","0.718","1.66","143","336","86","0"
2543,"8","48","384","6","0.221","0.557","1.37","85","214","62","0"
2544,"6","40","240","6.667","0.296","0.729","1.37","71","175","52","0"
2546,"6","12","72","2","0.375","0.944","1.5","27","68","18","0"
2547,"9","18","162","2","0.259","0.71","1.56","42","115","27","0"
2549,"7","35","245","5","0.269","0.939","1.32","66","230","50","0"
2551,"9","48","432","5.333","0.227","0.657","1.42","98","284","69","0"
2552,"9","20","180","2.222","0.261","0.617","1.68","47","111","28","0"
2553,"7","13","91","1.857","0.374","0.901","1.7","34","82","20","0"
2555,"7","33","231","4.714","0.351","0.957","1.45","81","221","56","0"
2556,"8","6","48","0.75","0.375","1","1.64","18","48","11","0"
2557,"7","38","266","5.429","0.252","0.628","1.4","67","167","48","0"
2559,"5","5","25","1","0.28","0.72","1.75","7","18","4","0"
2560,"7","10","70","1.429","0.329","0.814","1.28","23","57","18","0"
2561,"7","18","126","2.571","0.302","0.984","1.36","38","124","28","0"
2562,"9","14","126","1.556","0.238","0.897","1.36","30","113","22","0"
2563,"9","16","144","1.778","0.278","0.917","1.48","40","132","27","0"
2564,"7","14","98","2","0.367","0.786","1.57","36","77","23","0"
2565,"6","58","348","9.667","0.276","0.744","1.17","96","259","82","0"
2566,"7","47","329","6.714","0.322","0.833","1.74","106","274","61","0"
2567,"7","40","280","5.714","0.339","0.936","1.44","95","262","66","0"
2569,"5","33","165","6.6","0.315","0.909","1.27","52","150","41","0"
2570,"7","8","56","1.143","0.321","0.786","1.38","18","44","13","0"
2571,"7","4","28","0.571","0.321","0.679","9","9","19","1","0"
2572,"7","31","217","4.429","0.313","0.71","1.51","68","154","45","0"
2573,"7","23","161","3.286","0.298","0.876","1.45","48","141","33","0"
2574,"9","53","477","5.889","0.218","0.591","1.24","104","282","84","0"
2575,"9","44","396","4.889","0.258","0.604","1.38","102","239","74","0"
2576,"5","43","215","8.6","0.33","0.819","1.16","71","176","61","0"
2577,"6","10","60","1.667","0.45","0.85","1.93","27","51","14","0"
2578,"8","15","120","1.875","0.467","0.783","2.24","56","94","25","0"
2580,"7","8","56","1.143","0.464","0.768","2.17","26","43","12","0"
2581,"7","9","63","1.286","0.429","0.683","2.45","27","43","11","0"
2584,"8","43","344","5.375","0.398","0.945","1.69","137","325","81","0"
2585,"10","29","290","2.9","0.307","0.855","1.85","89","248","48","0"
2589,"9","37","333","4.111","0.3","0.694","2","100","231","50","0"
2590,"8","9","72","1.125","0.431","0.903","2.07","31","65","15","0"
2592,"8","12","96","1.5","0.417","0.938","2","40","90","20","0"
2593,"8","9","72","1.125","0.389","0.736","2.15","28","53","13","0"
2597,"2","46","92","23","0.511","0.554","47","47","51","1","0"
2598,"11","46","506","4.182","0.283","0.84","1.81","143","425","79","0"
2599,"8","9","72","1.125","0.403","0.722","1.93","29","52","15","0"
2601,"5","7","35","1.4","0.2","0.314","7","7","11","1","0"
2603,"8","24","192","3","0.339","0.917","1.81","65","176","36","0"
2604,"8","35","280","4.375","0.382","1","2.02","107","280","53","0"
2605,"8","9","72","1.125","0.431","0.958","2.07","31","69","15","0"
2606,"9","15","135","1.667","0.407","0.844","2.29","55","114","24","0"
2608,"8","4","32","0.5","0.375","1","1.5","12","32","8","0"
2610,"10","32","320","3.2","0.334","0.797","2.1","107","255","51","0"
2611,"10","33","330","3.3","0.318","0.758","2.33","105","250","45","0"
2613,"9","43","387","4.778","0.344","0.982","1.82","133","380","73","0"
2615,"10","30","300","3","0.427","0.78","2.78","128","234","46","0"
2616,"8","12","96","1.5","0.448","0.885","1.95","43","85","22","0"
2617,"11","84","924","7.636","0.279","0.679","2.35","258","627","110","0"
2618,"8","53","424","6.625","0.33","0.906","2.09","140","384","67","0"
2620,"6","8","48","1.333","0.646","0.917","3.1","31","44","10","0"
2621,"6","47","282","7.833","0.202","0.202","57","57","57","1","0"
2623,"10","11","110","1.1","0.273","0.927","1.58","30","102","19","0"
2624,"8","34","272","4.25","0.426","0.985","1.84","116","268","63","0"
2625,"8","10","80","1.25","0.4","0.825","2","32","66","16","0"
2627,"6","31","186","5.167","0.5","1","1.94","93","186","48","0"
2628,"11","272","2992","24.727","0.279","0.681","1.97","835","2039","423","0"
2629,"8","23","184","2.875","0.38","0.989","1.75","70","182","40","0"
2630,"7","12","84","1.714","0.464","1","2.17","39","84","18","0"
2632,"8","50","400","6.25","0.428","0.74","2.31","171","296","74","0"
2634,"8","12","96","1.5","0.51","0.844","2.58","49","81","19","0"
2635,"8","35","280","4.375","0.418","0.929","2.39","117","260","49","0"
2636,"11","31","341","2.818","0.323","0.83","2.08","110","283","53","0"
2637,"10","25","250","2.5","0.408","0.68","2.43","102","170","42","0"
2640,"8","17","136","2.125","0.463","0.735","2.86","63","100","22","0"
2641,"8","16","128","2","0.398","0.828","2.68","51","106","19","0"
2642,"8","16","128","2","0.516","1","2.54","66","128","26","0"
2643,"7","26","182","3.714","0.445","0.978","2.25","81","178","36","0"
2644,"5","7","35","1.4","0.657","0.886","3.83","23","31","6","0"
2645,"8","15","120","1.875","0.433","0.975","2","52","117","26","0"
2646,"10","67","670","6.7","0.321","0.81","2.29","215","543","94","0"
2647,"8","36","288","4.5","0.427","0.924","1.98","123","266","62","0"
2648,"8","12","96","1.5","0.469","0.948","2.14","45","91","21","0"
2649,"8","34","272","4.25","0.419","0.783","2","114","213","57","0"
2650,"11","32","352","2.909","0.332","0.815","1.86","117","287","63","0"
2651,"11","36","396","3.273","0.283","0.79","2.07","112","313","54","0"
2652,"10","21","210","2.1","0.3","0.81","1.91","63","170","33","0"
2653,"6","14","84","2.333","0.571","1","2.29","48","84","21","0"
2654,"11","60","660","5.455","0.32","0.608","2.01","211","401","105","0"
2655,"11","91","1001","8.273","0.286","0.597","2.33","286","598","123","0"
2656,"8","14","112","1.75","0.446","0.973","2.27","50","109","22","0"
2657,"8","12","96","1.5","0.458","0.927","2.2","44","89","20","0"
2660,"10","26","260","2.6","0.296","0.942","2.2","77","245","35","0"
2661,"10","18","180","1.8","0.383","1","2.3","69","180","30","0"
2663,"8","12","96","1.5","0.458","0.938","2.59","44","90","17","0"
2664,"10","61","610","6.1","0.305","0.952","1.98","186","581","94","0"
2665,"6","36","216","6","0.495","0.995","1.91","107","215","56","0"
2666,"9","24","216","2.667","0.352","0.722","2.17","76","156","35","0"
2667,"8","22","176","2.75","0.392","0.915","2.56","69","161","27","0"
2668,"8","7","56","0.875","0.429","1","2.18","24","56","11","0"
2669,"8","26","208","3.25","0.399","0.976","1.93","83","203","43","0"
2670,"8","7","56","0.875","0.411","1","2.09","23","56","11","0"
2671,"10","37","370","3.7","0.324","0.692","1.85","120","256","65","0"
2672,"8","22","176","2.75","0.392","0.778","2.3","69","137","30","0"
2673,"8","15","120","1.875","0.375","0.85","1.88","45","102","24","0"
2675,"8","12","96","1.5","0.385","0.688","1.95","37","66","19","0"
2676,"8","17","136","2.125","0.36","0.831","1.96","49","113","25","0"
2677,"10","40","400","4","0.333","0.783","1.82","133","313","73","0"
2678,"8","9","72","1.125","0.361","0.722","1.86","26","52","14","0"
2682,"10","44","440","4.4","0.318","0.87","1.75","140","383","80","0"
2683,"10","26","260","2.6","0.273","0.815","1.87","71","212","38","0"
2684,"10","30","300","3","0.3","0.73","2.14","90","219","42","0"
2685,"7","15","105","2.143","0.4","0.752","1.83","42","79","23","0"
2687,"7","8","56","1.143","0.429","0.964","1.85","24","54","13","0"
2688,"9","114","1026","12.667","0.272","0.741","1.86","279","760","150","0"
2689,"8","29","232","3.625","0.345","0.681","2","80","158","40","0"
2690,"7","14","98","2","0.378","0.969","1.95","37","95","19","0"
2691,"10","61","610","6.1","0.29","0.657","2.16","177","401","82","0"
2692,"8","16","128","2","0.398","0.695","2.55","51","89","20","0"
2693,"8","25","200","3.125","0.355","0.78","1.73","71","156","41","0"
2695,"11","154","1694","14","0.187","0.522","1.94","317","884","163","0"
2696,"7","19","133","2.714","0.398","0.88","1.83","53","117","29","0"
2697,"10","144","1440","14.4","0.256","0.625","1.8","368","900","205","0"
2698,"7","12","84","1.714","0.476","0.81","2.11","40","68","19","0"
2700,"4","3","12","0.75","0.667","0.917","2.67","8","11","3","0"
2702,"10","30","300","3","0.33","0.843","1.9","99","253","52","0"
2703,"7","10","70","1.429","0.386","0.914","2.08","27","64","13","0"
2704,"7","20","140","2.857","0.4","1","1.87","56","140","30","0"
2705,"5","13","65","2.6","0.462","0.677","4.29","30","44","7","0"
2706,"6","49","294","8.167","0.32","0.527","2.94","94","155","32","0"
2707,"9","41","369","4.556","0.336","0.694","1.91","124","256","65","0"
2710,"6","14","84","2.333","0.512","1","3.07","43","84","14","0"
2711,"6","8","48","1.333","0.604","0.896","3.22","29","43","9","0"
2712,"7","35","245","5","0.494","1","2.2","121","245","55","0"
2713,"9","33","297","3.667","0.357","0.63","2.47","106","187","43","0"
2714,"10","39","390","3.9","0.344","0.59","2.79","134","230","48","0"
2715,"8","36","288","4.5","0.299","0.531","2.21","86","153","39","0"
2716,"10","9","90","0.9","0.356","0.933","1.6","32","84","20","0"
2717,"10","14","140","1.4","0.371","0.886","2.89","52","124","18","0"
2720,"10","16","160","1.6","0.338","0.888","2.08","54","142","26","0"
2721,"8","59","472","7.375","0.307","0.775","1.84","145","366","79","0"
2722,"8","5","40","0.625","0.375","0.95","2.14","15","38","7","0"
2723,"8","33","264","4.125","0.371","0.795","1.92","98","210","51","0"
2724,"10","66","660","6.6","0.27","0.638","1.87","178","421","95","0"
2725,"10","30","300","3","0.357","0.87","2.14","107","261","50","0"
2726,"8","23","184","2.875","0.364","0.967","2.03","67","178","33","0"
2727,"6","14","84","2.333","0.536","1","2.05","45","84","22","0"
2728,"9","14","126","1.556","0.333","0.897","2.47","42","113","17","0"
2729,"8","60","480","7.5","0.335","0.915","1.85","161","439","87","0"
2734,"8","37","296","4.625","0.334","0.831","1.87","99","246","53","0"
2736,"9","89","801","9.889","0.3","0.559","2.18","240","448","110","0"
2737,"8","12","96","1.5","0.479","1","2.19","46","96","21","0"
2738,"8","16","128","2","0.422","0.992","1.86","54","127","29","0"
2739,"9","32","288","3.556","0.33","0.889","1.79","95","256","53","0"
2740,"8","12","96","1.5","0.417","0.927","1.74","40","89","23","0"
2741,"10","99","990","9.9","0.264","0.774","1.92","261","766","136","0"
2742,"8","35","280","4.375","0.393","0.918","1.96","110","257","56","0"
2745,"8","80","640","10","0.347","0.933","1.75","222","597","127","0"
